study_id,duration_category,frequency_reported
https://doi.org/10.1002/pan3.70118,short,0
https://doi.org/10.1111/1468-2427.70028,NR,0
https://doi.org/10.17645/up.v6i4.4533,intermediate,0
https://doi.org/10.1080/01944363.2011.616996,ongoing,0
https://doi.org/10.1061/JUPDDM.UPENG-4277,single,0
https://doi.org/10.1007/s11252-018-0765-7,long,1
https://doi.org/10.1080/00049182.2023.2204573,long,0
https://doi.org/10.1080/15568318.2025.2507674,long,0
https://doi.org/10.19246/DOCUGEO2281-7549/202302_15,ongoing,0
https://doi.org/10.1080/13549839.2023.2298675,short,0
https://doi.org/10.1177/00420980231208830,ongoing,1
https://doi.org/10.1080/14649365.2019.1658800,long,1
https://doi.org/10.1177/0739456X14526453,intermediate,0
https://doi.org/10.1111/anti.13048,ongoing,0
https://doi.org/10.6093/1970-9870/10836,long,0
https://doi.org/10.1080/00049158.2014.947546,ongoing,0
https://doi.org/10.1007/s10661-021-09291-9,short,0
https://doi.org/10.1002/pan3.70182,intermediate,0
https://doi.org/10.1656/058.016.0sp1013,long,1
https://doi.org/10.2166/ws.2022.118,NR,0
https://doi.org/10.1080/14693062.2025.2539140,short,0
https://doi.org/10.1177/1367877913513694,single,0
https://doi.org/10.1080/19320248.2014.962778,short,1
https://doi.org/10.1080/02697459.2016.1158065,NR,0
https://doi.org/10.1080/13549839908725579,long,0
,ongoing,1
https://doi.org/10.1080/15358593.2020.1737191,intermediate,0
https://doi.org/10.1007/s42532-020-00052-5,long,0
https://doi.org/10.1080/02697459.2017.1378971,short,0
https://doi.org/10.1353/cpr.2018.0068,long,0
https://doi.org/10.1080/10705422.2017.1413024,ongoing,1
https://doi.org/10.1080/0312407X.2017.1384032,intermediate,0
https://doi.org/10.1080/10455752.2018.1428999,long,1
https://doi.org/10.1007/s11422-015-9681-9,short,0
https://doi.org/10.14627/537629013,short,0
https://doi.org/10.13135/2384-8677/3267,short,1
https://doi.org/10.1080/23748834.2019.1604931,short,0
https://doi.org/10.1080/23748834.2019.1586327,NR,0
https://doi.org/10.1080/02763893.2012.754816,ongoing,0
https://doi.org/10.1080/0376835X.2013.797220,ongoing,1
https://doi.org/10.1080/10705422.2013.842196,short,0
https://doi.org/10.1177/08901171221131710,ongoing,0
https://doi.org/10.1080/22054952.2022.2083789,NR,0
https://doi.org/10.1080/10705422.2022.2138667,single,0
https://doi.org/10.1080/01944360802354956,long,0
https://doi.org/10.1080/13549830903166438,short,1
https://doi.org/10.1080/19320248.2010.530552,ongoing,0
https://doi.org/10.1007/s10978-020-09279-3,ongoing,0
https://doi.org/10.46754/jssm.2021.04.017,single,0
https://doi.org/10.15302/J-LAF-1-050063,intermediate,1
https://doi.org/10.1080/1573062X.2025.2553248,NR,0
https://doi.org/10.1080/17565529.2023.2277248,intermediate,1
https://doi.org/10.1080/15575330.2023.2275127,long,0
https://doi.org/10.4467/25438700SM.23.011.18170,long,0
https://doi.org/10.5814/j.issn.1674-764x.2022.03.002,NR,0
https://doi.org/10.3390/su17073152,single,0
https://doi.org/10.1080/13467581.2024.2366814,short,1
https://doi.org/10.1007/s10460-025-10757-6,long,1
https://doi.org/10.1007/s11135-025-02444-9,NR,0
https://doi.org/10.1080/26883597.2025.2572741,NR,0
https://doi.org/10.1111/inm.13149,short,0
https://doi.org/10.15302/J-LAF-1-040002,ongoing,0
https://doi.org/10.12795/HabitatySociedad.2021.i14.04,long,0
https://doi.org/10.1080/13549839.2023.2254797,long,1
https://doi.org/10.1145/3173386.3177817,NR,0
https://doi.org/10.1177/17579759231176293,intermediate,0
https://doi.org/10.1080/13527258.2021.2020879,ongoing,0
https://doi.org/10.1177/10901981211009738,short,0
https://doi.org/10.1007/s10708-025-11526-y,NR,0
https://doi.org/10.1016/j.landurbplan.2025.105342,NR,0
https://doi.org/10.3390/land14040740,intermediate,1
https://doi.org/10.3390/land12040781,short,0
https://doi.org/10.17645/up.v6i1.3515,intermediate,0
https://doi.org/10.1007/s11355-021-00468-5,short,0
https://doi.org/10.3389/fclim.2025.1639059,ongoing,1
https://doi.org/10.3390/su132313378,long,0
https://doi.org/10.3390/su17188416,intermediate,0
https://doi.org/10.6093/2281-4574/11264,ongoing,0
https://doi.org/10.3390/su10082629,long,0
https://doi.org/10.3390/su10061857,long,0
https://doi.org/10.3390/su13137357,intermediate,1
https://doi.org/10.24857/rgsa.v16n3-004,long,0
https://doi.org/10.15302/J-LAF-1-050037,intermediate,0
https://doi.org/10.70917/fce-2025-002,single,0
https://doi.org/10.3390/su14021023,intermediate,0
https://doi.org/10.3390/land14091847,single,0
https://doi.org/10.3390/su12083166,NR,0
https://doi.org/10.3390/su142114529,NR,0
https://doi.org/10.3390/su142215148,intermediate,0
https://doi.org/10.3390/su10124791,NR,0
https://doi.org/10.3390/land10121376,short,0
https://doi.org/10.3390/su12051820,short,0
https://doi.org/10.3390/su13084344,long,0
https://doi.org/10.3390/su14031499,short,0
https://doi.org/10.1016/j.ufug.2025.129170,short,0
https://doi.org/10.3390/nu16101533,intermediate,0
https://doi.org/10.3390/land14112174,NR,0
https://doi.org/10.3390/land14081558,short,0
https://doi.org/10.1108/17538331011030275,NR,0
https://doi.org/10.1093/jipm/pmx029,short,0
https://doi.org/10.3390/w10010064,NR,0
https://doi.org/10.3390/land13070985,ongoing,1
https://doi.org/10.2166/wst.2021.513,long,0
https://doi.org/10.3390/w17213084,single,0
https://doi.org/10.3390/su13052572,long,1
https://doi.org/10.3390/su14137956,intermediate,0
https://doi.org/10.3390/su17020473,short,0
https://doi.org/10.3390/su14137966,NR,0
https://doi.org/10.3390/land13010088,short,0
https://doi.org/10.3390/land12010171,short,0
https://doi.org/10.3390/su152014985,short,0
https://doi.org/10.3390/environments8060053,NR,0
https://doi.org/10.3390/su10124541,NR,0
https://doi.org/10.3390/su15086716,intermediate,0
https://doi.org/10.3390/su8121347,long,0
https://doi.org/10.3390/atmos15030372,intermediate,0
https://doi.org/10.3390/su15054092,NR,0
https://doi.org/10.3390/su13147576,intermediate,0
https://doi.org/10.3390/su17156857,NR,0
https://doi.org/10.3390/cli10060082,single,0
https://doi.org/10.3390/buildings9060151,NR,0
https://doi.org/10.3390/jzbg5020010,ongoing,1
https://doi.org/10.3390/su17219473,short,0
https://doi.org/10.3390/ijerph192013612,short,0
https://doi.org/10.3390/plants11233230,NR,0
https://doi.org/10.3390/ijerph17020486,intermediate,0
https://doi.org/10.3390/su8030198,short,1
https://doi.org/10.3390/su151612422,long,1
https://doi.org/10.3390/land14102066,long,1
https://doi.org/10.3390/su12208324,short,0
https://doi.org/10.3390/ijerph17113772,intermediate,1
https://doi.org/10.3390/w17162435,short,0
https://doi.org/10.3390/su15032297,NR,0
https://doi.org/10.3390/w14060883,short,0
https://doi.org/10.3390/su17114951,short,0
https://doi.org/10.3390/ijerph18126243,ongoing,0
https://doi.org/10.3390/land14122395,long,0
https://doi.org/10.3390/ijerph16214145,long,0
https://doi.org/10.3390/land12010055,long,1
https://doi.org/10.3390/su12229588,ongoing,0
https://doi.org/10.3390/ijerph16081337,ongoing,0
https://doi.org/10.3390/su11102788,ongoing,0
https://doi.org/10.3390/su11092659,ongoing,1
https://doi.org/10.3390/su17156781,long,1
https://doi.org/10.3390/land13081235,short,0
https://doi.org/10.3390/su15139930,short,0
https://doi.org/10.3390/su17093904,ongoing,1
https://doi.org/10.3390/su14020961,long,0
https://doi.org/10.3390/su141811631,long,1
https://doi.org/10.3390/su9112097,long,1
https://doi.org/10.3390/su13158626,short,1
https://doi.org/10.3390/f9110670,long,0
https://doi.org/10.3390/su15032000,intermediate,0
https://doi.org/10.3390/su15032478,long,0
https://doi.org/10.3390/su14169887,NR,0
https://doi.org/10.3390/buildings14061542,NR,0
https://doi.org/10.3390/su15053905,long,0
https://doi.org/10.3390/su151712760,NR,0
https://doi.org/10.3390/land11050610,short,0
https://doi.org/10.1093/cdj/bsu023,short,0
https://doi.org/10.3390/land14071466,single,0
https://doi.org/10.3390/su122410644,intermediate,0
https://doi.org/10.1002/ieam.4473,NR,0
https://doi.org/10.1108/IJDRBE-02-2023-0013,intermediate,0
https://doi.org/10.1108/JPMD-10-2017-0109,ongoing,1
https://doi.org/10.1108/17538331111153197,ongoing,0
https://doi.org/10.30827/cuadgeo.v61i1.21600,short,0
https://doi.org/10.1108/QRJ-05-2024-0108,ongoing,0
https://doi.org/10.1007/978-3-030-73399-5_7,long,0
https://doi.org/10.3390/land6030059,ongoing,0
https://doi.org/10.3389/fcosc.2025.1640398,NR,0
https://doi.org/10.11576/jsse-6498,short,1
DOI: xx.xxxxx/tureview.xxxx.xx (as reported on p. 24),NR,0
https://doi.org/10.1002/ppp3.10245,ongoing,0
https://doi.org/10.1111/rec.13672,intermediate,1
https://doi.org/10.3390/buildings14113507,short,0
https://doi.org/10.21273/HORTTECH05320-23,intermediate,1
https://doi.org/10.1108/IJSHE-12-2023-0609,ongoing,0
https://doi.org/10.3390/urbansci10010015,single,0
https://doi.org/10.3390/su13179672,long,0
https://doi.org/10.3389/fpsyt.2022.883817,intermediate,0
https://doi.org/10.1038/s41598-024-51611-9,intermediate,0
https://doi.org/10.3390/su17167412,single,0
https://doi.org/10.3390/urbansci6020041,short,0
https://doi.org/10.3389/frsc.2022.927723,long,0
https://doi.org/10.1007/s42532-022-00123-9,long,1
